"dhs_indicator_code","variable","ADM2_EN","naive","naive_var","dir","dir_var","n_obs","degf"
"CN_MIAC_C_VAS","nt_ch_micro_vas","Bagerhat",0.642857142857143,0.232919254658385,0.628658472604895,0.00495263912631184,8,7
"CN_MIAC_C_VAS","nt_ch_micro_vas","Bandarban",0.615384615384615,0.256410256410256,0.620224716993079,0.00115337211388037,2,1
"CN_MIAC_C_VAS","nt_ch_micro_vas","Barguna",0.725806451612903,0.202273929138022,0.723346447101033,0.00170765556894134,7,6
"CN_MIAC_C_VAS","nt_ch_micro_vas","Barisal",0.628378378378378,0.234310581768209,0.639941414504205,0.00261878093223969,26,25
"CN_MIAC_C_VAS","nt_ch_micro_vas","Bhola",0.651515151515151,0.228195662205814,0.672028231809623,0.00259869168130782,13,12
"CN_MIAC_C_VAS","nt_ch_micro_vas","Bogra",0.644628099173554,0.23099173553719,0.638566347036182,0.0022663507506062,16,15
"CN_MIAC_C_VAS","nt_ch_micro_vas","Brahamanbaria",0.740384615384615,0.19408140403286,0.737105169621593,0.00269599267764465,7,6
"CN_MIAC_C_VAS","nt_ch_micro_vas","Chandpur",0.730769230769231,0.19865571321882,0.726353560589282,0.00170128273979438,8,7
"CN_MIAC_C_VAS","nt_ch_micro_vas","Chittagong",0.770408163265306,0.177331802286132,0.789085565982823,0.000645616339663643,30,29
"CN_MIAC_C_VAS","nt_ch_micro_vas","Chuadanga",0.846153846153846,0.132730015082956,0.844361153842487,0.00337943259278269,6,5
"CN_MIAC_C_VAS","nt_ch_micro_vas","Comilla",0.748815165876777,0.188986684721282,0.745942401260023,0.00177193204351086,15,14
"CN_MIAC_C_VAS","nt_ch_micro_vas","Cox's Bazar",0.617021276595745,0.238846945778998,0.633964193496599,0.0102374799187415,5,4
"CN_MIAC_C_VAS","nt_ch_micro_vas","Dhaka",0.648837209302326,0.22837859814604,0.641848865053556,0.000709676467292968,42,41
"CN_MIAC_C_VAS","nt_ch_micro_vas","Dinajpur",0.779310344827586,0.173180076628352,0.785172462421945,0.00148825157488944,16,15
"CN_MIAC_C_VAS","nt_ch_micro_vas","Faridpur",0.755555555555556,0.188888888888889,0.752846342072592,0.00310015089938337,4,3
"CN_MIAC_C_VAS","nt_ch_micro_vas","Feni",0.807692307692308,0.157342657342657,0.78762939299073,0.00388961790659231,5,4
"CN_MIAC_C_VAS","nt_ch_micro_vas","Gaibandha",0.669014084507042,0.223004694835681,0.677151693657569,0.00119654357063996,12,11
"CN_MIAC_C_VAS","nt_ch_micro_vas","Gazipur",0.73728813559322,0.195349847892221,0.734709464655283,0.00128653805652951,10,9
"CN_MIAC_C_VAS","nt_ch_micro_vas","Gopalganj",0.631578947368421,0.238975817923186,0.635041905099251,0.000160669203029077,3,2
"CN_MIAC_C_VAS","nt_ch_micro_vas","Habiganj",0.761682242990654,0.182374621561143,0.759160780718222,0.0027324464772948,15,14
"CN_MIAC_C_VAS","nt_ch_micro_vas","Jamalpur",0.75609756097561,0.185545413736346,0.759994607227985,0.00185140052205709,16,15
"CN_MIAC_C_VAS","nt_ch_micro_vas","Jessore",0.735042735042735,0.196433834364869,0.740913649211453,0.00201609710666756,13,12
"CN_MIAC_C_VAS","nt_ch_micro_vas","Jhalokati",0.697368421052632,0.213859649122807,0.7307975419658,0.00431384796950527,6,5
"CN_MIAC_C_VAS","nt_ch_micro_vas","Jhenaidah",0.802197802197802,0.16043956043956,0.807302761622209,0.00187707017498616,10,9
"CN_MIAC_C_VAS","nt_ch_micro_vas","Joypurhat",0.846153846153846,0.135384615384615,0.860441053247807,0.00599796969420601,4,3
"CN_MIAC_C_VAS","nt_ch_micro_vas","Khagrachhari",0.710526315789474,0.211237553342816,0.700681612529657,0.00788133073699359,3,2
"CN_MIAC_C_VAS","nt_ch_micro_vas","Khulna",0.793548387096774,0.164893171344784,0.805046934658957,0.00139746758170923,18,17
"CN_MIAC_C_VAS","nt_ch_micro_vas","Kishoreganj",0.717391304347826,0.204968944099379,0.712145145510497,0.00480020892837058,7,6
"CN_MIAC_C_VAS","nt_ch_micro_vas","Kurigram",0.772727272727273,0.176960444136017,0.738135802044046,0.00175117804898646,12,11
"CN_MIAC_C_VAS","nt_ch_micro_vas","Kushtia",0.8,0.16140350877193,0.80378910969659,0.00149823186722581,10,9
"CN_MIAC_C_VAS","nt_ch_micro_vas","Lakshmipur",0.730337078651685,0.199182839632278,0.735149256808314,0.00444776808480124,6,5
"CN_MIAC_C_VAS","nt_ch_micro_vas","Lalmonirhat",0.74,0.196326530612245,0.716571384711996,0.00938685420822718,5,4
"CN_MIAC_C_VAS","nt_ch_micro_vas","Madaripur",0.658536585365854,0.230487804878049,0.673955498860336,0.00282887908187464,3,2
"CN_MIAC_C_VAS","nt_ch_micro_vas","Magura",0.66,0.228979591836735,0.656807488294059,0.00468328797094264,5,4
"CN_MIAC_C_VAS","nt_ch_micro_vas","Manikganj",0.466666666666667,0.254545454545455,0.48543191323855,0.00454862411831071,4,3
"CN_MIAC_C_VAS","nt_ch_micro_vas","Maulvibazar",0.788888888888889,0.167473618870267,0.794853169218928,0.00176794597598217,12,11
"CN_MIAC_C_VAS","nt_ch_micro_vas","Meherpur",0.774193548387097,0.180645161290323,0.775945588237149,0.00063173021263432,3,2
"CN_MIAC_C_VAS","nt_ch_micro_vas","Munshiganj",0.536585365853659,0.254878048780488,0.504378852003243,0.00718464058389771,4,3
"CN_MIAC_C_VAS","nt_ch_micro_vas","Mymensingh",0.666666666666667,0.222713864306785,0.655408423938568,0.000941229322575605,35,34
"CN_MIAC_C_VAS","nt_ch_micro_vas","Naogaon",0.741935483870968,0.193548387096774,0.75181930090162,0.00201234392601774,11,10
"CN_MIAC_C_VAS","nt_ch_micro_vas","Narail",0.606060606060606,0.246212121212121,0.608713004125708,0.000898715295655991,3,2
"CN_MIAC_C_VAS","nt_ch_micro_vas","Narayanganj",0.655555555555556,0.228339575530587,0.665333526309774,0.00362489734311926,8,7
"CN_MIAC_C_VAS","nt_ch_micro_vas","Narsingdi",0.685714285714286,0.221848739495798,0.680968373911115,0.00309466345772409,4,3
"CN_MIAC_C_VAS","nt_ch_micro_vas","Natore",0.745454545454545,0.193265993265993,0.735643893535759,0.00293667940980369,7,6
"CN_MIAC_C_VAS","nt_ch_micro_vas","Nawabganj",0.741379310344828,0.195099818511797,0.750911623662162,0.00714435204456326,7,6
"CN_MIAC_C_VAS","nt_ch_micro_vas","Netrakona",0.694736842105263,0.213199665831245,0.696224432239552,0.00288141095735259,15,14
"CN_MIAC_C_VAS","nt_ch_micro_vas","Nilphamari",0.711340206185567,0.207474226804124,0.701305637385266,0.00237279447945742,8,7
"CN_MIAC_C_VAS","nt_ch_micro_vas","Noakhali",0.723880597014925,0.201380316462799,0.716140557297901,0.0003696047891807,8,7
"CN_MIAC_C_VAS","nt_ch_micro_vas","Pabna",0.601769911504425,0.241782553729456,0.59573532584929,0.0015606900740899,10,9
"CN_MIAC_C_VAS","nt_ch_micro_vas","Panchagarh",0.596153846153846,0.245475113122172,0.573515332226374,0.00449504232542211,5,4
"CN_MIAC_C_VAS","nt_ch_micro_vas","Patuakhali",0.723577235772358,0.201652672264428,0.718304293453746,0.00145759831132377,10,9
"CN_MIAC_C_VAS","nt_ch_micro_vas","Pirojpur",0.697674418604651,0.213406292749658,0.674292073584852,0.000709212937330324,9,8
"CN_MIAC_C_VAS","nt_ch_micro_vas","Rajbari",0.605263157894737,0.245376955903272,0.596654201890991,0.00560726405867265,4,3
"CN_MIAC_C_VAS","nt_ch_micro_vas","Rajshahi",0.835443037974684,0.138353624123196,0.852150813490027,0.00188131986185376,20,19
"CN_MIAC_C_VAS","nt_ch_micro_vas","Rangamati",0.659574468085106,0.229417206290472,0.620095802882625,0.0029906415625746,5,4
"CN_MIAC_C_VAS","nt_ch_micro_vas","Rangpur",0.796791443850267,0.162785348743603,0.814853473198059,0.00106518658099553,20,19
"CN_MIAC_C_VAS","nt_ch_micro_vas","Satkhira",0.684210526315789,0.217978574755473,0.688554425611502,0.00221808655854302,10,9
"CN_MIAC_C_VAS","nt_ch_micro_vas","Shariatpur",0.769230769230769,0.182186234817814,0.763606199609513,0.00286560508960183,3,2
"CN_MIAC_C_VAS","nt_ch_micro_vas","Sherpur",0.829787234042553,0.142759094028826,0.825517274103774,0.00242525932378215,9,8
"CN_MIAC_C_VAS","nt_ch_micro_vas","Sirajganj",0.588235294117647,0.244267198404786,0.596694967190472,0.00441310365518544,14,13
